發生地點,發生時間點,行政區,車種,受傷人數,緯度,經度
臺北市中正區羅斯福路3段 / 臺北市中正區辛亥路1段,2018/10/3 下午 06:16:00,中正區,自用-小客車;普通重型-機車,1,25.019806,121.529048
臺北市中正區羅斯福路3段 / 臺北市中正區新生南路3段,2018/11/14 上午 09:50:00,中正區,自用-小客車;自用-小客車;普通重型-機車,1,25.016318,121.53277
臺北市中正區羅斯福路3段100-1號前0.0公尺,2018/10/6 上午 05:10:00,中正區,普通重型-機車;行人-人,2,25.021204,121.527247
臺北市中正區羅斯福路3段100號前0.0公尺,2018/9/16 上午 08:45:00,中正區,普通重型-機車;自用-小客車,1,25.021308,121.527322
臺北市中正區羅斯福路3段126號前0.0公尺,2018/7/13 下午 07:20:00,中正區,普通重型-機車;普通重型-機車;自用-小客車;乘客-人,3,25.019167,121.529759
臺北市中正區羅斯福路3段126號前0.0公尺,2018/3/28 下午 08:32:00,中正區,普通重型-機車;普通重型-機車;普通重型-機車,3,25.020683,121.52821
臺北市中正區羅斯福路3段150號前0.0公尺,2018/4/20 上午 10:00:00,中正區,普通重型-機車;自用-小貨車(含客、貨兩用);計程車-小客車,1,25.019976,121.528681
臺北市中正區羅斯福路3段230號前0.0公尺,2018/7/18 下午 10:58:00,中正區,腳踏自行車-慢車;普通輕型-機車;乘客-人,3,25.018475,121.530204
臺北市中正區羅斯福路3段266-1號前0.0公尺,2018/11/24 下午 01:48:00,中正區,計程車-小客車;普通重型-機車,1,25.01686,121.53183
臺北市中正區羅斯福路3段316巷9弄4號前0.0公尺,2018/12/22 下午 02:10:00,中正區,計程車-小客車;行人-人;其他人-人,1,25.015536,121.53199
臺北市中正區羅斯福路3段316巷前0.0公尺,2018/3/4 下午 07:42:00,中正區,普通重型-機車,1,25.016062,121.532797
臺北市中正區羅斯福路3段50號前0.0公尺,2018/9/2 上午 09:47:00,中正區,普通重型-機車;普通重型-機車;普通重型-機車,1,25.022713,121.52555
臺北市中正區羅斯福路3段62號前0.0公尺,2018/4/27 上午 09:00:00,中正區,計程車-小客車;乘客-人;普通重型-機車,1,25.022382,121.525855
臺北市中正區羅斯福路3段90號前0.0公尺,2018/2/19 下午 04:38:00,中正區,自用-小客車;普通重型-機車,1,25.021659,121.526686
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路,2018/5/19 下午 10:55:00,中正區,普通重型-機車;普通重型-機車,2,25.011238,121.536892
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2018/9/12 下午 02:10:00,中正區,自用-小客車;普通重型-機車;乘客-人,2,25.010815,121.536684
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2018/7/4 下午 05:45:00,中正區,普通重型-機車;普通重型-機車,2,25.010815,121.536684
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2018/2/11 上午 12:58:00,中正區,普通重型-機車;自用-小客車,1,25.010854,121.536684
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2018/11/25 上午 07:48:00,中正區,普通重型-機車;普通重型-機車,2,25.0112,121.536821
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2018/10/31 下午 12:33:00,中正區,自用-小客車;普通重型-機車,1,25.011343,121.536924
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路3段,2018/5/10 上午 07:40:00,中正區,普通重型-機車;普通重型-機車,2,25.015112,121.532972
