發生地點,發生時間點,行政區,車種,受傷人數,緯度,經度
臺北市中正區羅斯福路3段 / 臺北市中正區辛亥路1段,2019/5/28 下午 12:27:00,中正區,普通重型-機車;自用-小客車,1,25.019787,121.528988
臺北市中正區羅斯福路3段 / 臺北市中正區新生南路3段,2019/2/20 下午 11:26:00,中正區,普通重型-機車;普通重型-機車;自用-小客車,2,25.016321,121.532563
臺北市中正區羅斯福路3段100號前0.0公尺,2019/12/17 下午 06:10:00,中正區,普通重型-機車;普通重型-機車;普通重型-機車,1,25.021254,121.527376
臺北市中正區羅斯福路3段109號前0.0公尺,2019/4/20 下午 12:21:00,中正區,普通重型-機車;計程車-小客車;租賃車-小客車,1,25.036888,121.497116
臺北市中正區羅斯福路3段150號前0.0公尺,2019/10/30 下午 08:10:00,中正區,自用-小客車;普通重型-機車,1,25.020198,121.528628
臺北市中正區羅斯福路3段242號前0.0公尺,2019/2/21 下午 05:00:00,中正區,計程車-小客車;普通重型-機車;乘客-人,1,25.017496,121.531289
臺北市中正區羅斯福路3段242號前0.0公尺,2019/3/22 上午 11:25:00,中正區,自用-小客車;普通重型-機車,1,25.017511,121.531006
臺北市中正區羅斯福路3段242號前0.0公尺,2019/8/8 下午 01:30:00,中正區,普通重型-機車;計程車-小客車,1,25.017827,121.530956
臺北市中正區羅斯福路3段254號前0.0公尺,2019/11/21 下午 08:41:00,中正區,計程車-小客車;普通重型-機車;自用-小客車;普通重型-機車,2,25.017253,121.53155
臺北市中正區羅斯福路3段56號前0.0公尺,2019/12/9 上午 08:00:00,中正區,計程車-小客車;普通重型-機車,1,25.02257,121.525802
臺北市中正區羅斯福路3段66巷前0.0公尺,2019/7/31 上午 11:33:00,中正區,普通重型-機車,1,25.02227,121.526196
臺北市中正區羅斯福路3段前0.0公尺,2019/9/23 下午 01:14:00,中正區,計程車-小客車;普通重型-機車,1,25.019874,121.528961
臺北市中正區羅斯福路3段前0.0公尺,2019/7/19 下午 05:45:00,中正區,普通重型-機車;營業用-小貨車(含客、貨兩用),1,25.021096,121.527635
臺北市中正區羅斯福路3段前0.0公尺,2019/1/18 上午 09:57:00,中正區,普通輕型-機車,1,25.022364,121.525849
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路,2019/9/15 下午 11:20:00,中正區,普通重型-機車;普通重型-機車,2,25.011269,121.536927
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2019/10/22 下午 09:10:00,中正區,普通重型-機車;普通重型-機車;乘客-人,2,25.011096,121.537392
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2019/5/8 上午 07:50:00,中正區,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車,1,25.011244,121.536961
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2019/5/30 下午 10:51:00,中正區,普通重型-機車;普通重型-機車;普通重型-機車,3,25.011252,121.536942
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2019/7/26 下午 01:50:00,中正區,普通重型-機車;普通重型-機車;乘客-人,3,25.011266,121.536952
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2019/10/31 下午 03:22:00,中正區,普通重型-機車;普通重型-機車,2,25.011281,121.537002
