區域,類別,子類別,加總 - 銷售額,加總 - 利潤,加總 - 數量
中亞,技術,電話," 129,843 "," 22,680 ", 609 
中亞,技術,複製器," 89,663 "," 17,258 ", 418 
中亞,技術,配件," 42,638 "," 7,782 ", 476 
中亞,技術,機器," 36,909 "," 7,081 ", 211 
中亞,傢具,書架," 116,093 "," 21,487 ", 488 
中亞,傢具,椅子," 86,437 "," 16,425 ", 646 
中亞,傢具,桌子," 51,512 "," 4,190 ", 112 
中亞,傢具,用具," 21,917 "," 5,323 ", 466 
中亞,辦公用品,器具," 55,619 "," 6,269 ", 222 
中亞,辦公用品,儲存具," 32,124 "," 5,852 ", 490 
中亞,辦公用品,紙張," 14,521 "," 2,941 ", 540 
中亞,辦公用品,用品," 14,007 "," 2,547 ", 480 
中亞,辦公用品,繫結器," 11,807 "," 2,575 ", 684 
中亞,辦公用品,信封," 10,786 "," 2,160 ", 415 
中亞,辦公用品,美術," 10,217 "," 2,091 ", 364 
中亞,辦公用品,系固件," 5,404 ", 969 , 408 
中亞,辦公用品,標籤," 4,471 ", 879 , 492 
